datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
116,2012,48073,33321,30510,1155,18995.0,1353.0,2252.0,1798.0,299.0,58965.0,709.0,158000.0,Oakland,75160.50974764148,903.7361385750497,201396.76995043425,3.4662825245340776,91.56387863509498,4.060502385882776,13.277087033747781,79.84014209591474
117,2017,48073,33800,30345,1197,19819.0,820.0,2553.0,2088.0,175.0,70350.0,848.0,188600.0,Oakland,83992.65359823758,1012.4487597911226,225174.33501958218,3.541420118343195,89.77810650887574,2.42603550295858,6.854680767724246,81.786133960047
118,2014,48073,33017,30156,1242,19190.0,1221.0,2577.0,2044.0,320.0,60914.0,736.0,157000.0,Oakland,75302.39029974317,909.8492835901596,194084.69772235735,3.761698518944786,91.33476693824394,3.698094920798377,12.417539774932091,79.31703531237874
119,2020,48073,34628,30193,2055,20725.0,518.0,2394.0,1536.0,383.0,78279.0,956.0,232900.0,Oakland,88515.32873409553,1081.01348087987,263355.69005954155,5.93450386970082,87.19244541989141,1.495899272265219,15.998329156223893,64.16040100250626
120,2016,48075,21651,4267,16264,9579.0,917.0,3203.0,728.0,2249.0,53222.0,813.0,110700.0,Oakland,64896.79221856027,991.3398984196292,134983.18174053257,75.11893215093991,19.70809662371253,4.235370190753314,70.21542304089917,22.728691851389325
121,2018,48075,22052,4180,16470,10074.0,759.0,2523.0,639.0,1541.0,54966.0,876.0,136000.0,Oakland,64060.63841310676,1020.9423871098774,158502.47105815448,74.68710321059314,18.9551968075458,3.4418646834754214,61.07808164883076,25.326991676575506
122,2014,48075,21238,4279,16129,8880.0,1270.0,3264.0,637.0,2524.0,53861.0,800.0,99200.0,Oakland,66583.41340142606,988.9666125979994,122631.85996215194,75.94406252942838,20.147848196628683,5.979847443262078,77.32843137254902,19.51593137254902
123,2020,48075,21810,4692,15104,9676.0,1067.0,2395.0,486.0,1557.0,58276.0,931.0,161800.0,Oakland,65896.59164409549,1052.7442998945178,182958.13933719968,69.25263640531865,21.513067400275105,4.8922512608895,65.01043841336117,20.292275574112733
124,2017,48075,21672,4245,16128,9894.0,853.0,2568.0,576.0,1713.0,55371.0,850.0,118000.0,Oakland,66108.84466791773,1014.8366106396866,140883.20006527414,74.4186046511628,19.5874861572536,3.9359542266519014,66.7056074766355,22.429906542056074
125,2012,48075,21684,4440,16495,9120.0,1334.0,3347.0,809.0,2400.0,54928.0,816.0,120100.0,Oakland,70014.6948090978,1040.1250903769262,153087.03842434907,76.06991330012913,20.475926950747095,6.152001475742483,71.7060053779504,24.170899312817447
126,2015,48075,21372,4135,16404,9118.0,1070.0,3279.0,697.0,2477.0,52776.0,794.0,102100.0,Oakland,65164.778391423395,980.3856685385437,126067.22513574974,76.75463222908479,19.347744712708216,5.0065506269885836,75.54132357426045,21.256480634339738
127,2019,48075,21758,4416,15973,10011.0,755.0,2067.0,580.0,1257.0,57106.0,898.0,148800.0,Oakland,65370.22819637248,1027.9561678342466,170333.93961440524,73.41207831602169,20.29598308668076,3.469988050372277,60.81277213352685,28.059990324141264
128,2011,48075,21809,4619,16344,9723.0,1226.0,2717.0,720.0,1827.0,56035.0,795.0,151700.0,Oakland,72903.86693725853,1034.3280845029096,197368.0131057753,74.9415378971984,21.17932963455454,5.621532394882847,67.24328303275672,26.499815973500183
129,2013,48075,21246,4133,16246,8791.0,1437.0,3417.0,625.0,2675.0,54152.0,827.0,105400.0,Oakland,68029.09360955025,1038.9285790939957,132410.00270436174,76.46615833568671,19.453073519721357,6.763626094323636,78.28504536142815,18.29089844893181
130,2013,48076,25276,8500,15314,11227.0,1857.0,2719.0,1250.0,1438.0,66177.0,864.0,117500.0,Oakland,83135.64277956876,1085.410268847899,147610.7715157733,60.58711821490742,33.62873872448172,7.346890330748536,52.887090842221404,45.97278411180581
131,2018,48076,25220,7451,16463,12413.0,975.0,2604.0,638.0,1819.0,67672.0,969.0,160100.0,Oakland,78868.96486358403,1129.3301062893504,186590.04129713625,65.27755749405235,29.544012688342587,3.865979381443299,69.85407066052227,24.50076804915515
132,2017,48076,25431,7840,16297,12386.0,1069.0,2534.0,903.0,1475.0,65344.0,920.0,143800.0,Oakland,78015.86292428197,1098.4113903394257,171686.47601174933,64.08320553654988,30.828516377649322,4.203531123432032,58.20836621941594,35.635359116022094
133,2020,48076,23822,7512,14948,11695.0,785.0,1989.0,686.0,1188.0,72290.0,992.0,181500.0,Oakland,81743.16373724455,1121.721101498777,205234.25395365732,62.74871967089245,31.533876248845605,3.2952732768029556,59.72850678733032,34.48969331322272
134,2011,48076,25215,9448,14299,11837.0,1636.0,2275.0,1084.0,1140.0,66326.0,880.0,147900.0,Oakland,86292.88620470438,1144.9166218396986,192424.05496601298,56.7083085465001,37.469760063454295,6.488201467380527,50.10989010989011,47.64835164835165
135,2012,48076,25141,9458,14044,11628.0,1761.0,2285.0,1112.0,1142.0,65662.0,879.0,127000.0,Oakland,83696.92853471781,1120.428865736909,161882.21382091867,55.86094427429299,37.6198241915596,7.004494650173024,49.9781181619256,48.66520787746171
136,2019,48076,24947,7608,15950,12321.0,940.0,2411.0,632.0,1618.0,71139.0,985.0,171300.0,Oakland,81434.04657412079,1127.5465760765398,196090.07967706732,63.93554335190604,30.49665290415681,3.767988134845873,67.10908336789714,26.213189547905436
137,2014,48076,25456,8254,15677,11253.0,1933.0,2774.0,1360.0,1354.0,62516.0,857.0,115100.0,Oakland,77282.79594147067,1059.4304837456066,142287.57138753714,61.58469516027656,32.42457573852923,7.5934946574481454,48.810382119682764,49.02667627974044
138,2015,48076,25567,8102,15781,11855.0,1625.0,2742.0,1154.0,1490.0,62476.0,854.0,118400.0,Oakland,77141.78215064741,1054.47022787395,146193.5304218685,61.724097469394145,31.68928697148668,6.355849337036023,54.33989788475565,42.08606856309263
139,2016,48076,25825,7869,16354,11965.0,1413.0,2781.0,944.0,1662.0,63502.0,883.0,127500.0,Oakland,77431.81578037307,1076.6951172257477,155468.43425400092,63.32623426911908,30.47047434656341,5.4714424007744435,59.76267529665588,33.94462423588637
140,2014,48083,23671,17160,1295,11213.0,1189.0,3161.0,2130.0,269.0,65547.0,813.0,165000.0,Oakland,81029.74319495133,1005.037320052717,203974.36384833735,5.470829284778843,72.49376874656754,5.023023953360652,8.509965200885796,67.38373932299905
141,2016,48083,23002,16404,1346,11202.0,981.0,2378.0,1683.0,154.0,68807.0,855.0,179100.0,Oakland,83900.52200560816,1042.5530297033001,218387.42411679652,5.8516650726023824,71.31553777932353,4.2648465350839055,6.476030277544155,70.77375946173254
142,2019,48083,22561,15218,976,11188.0,416.0,1878.0,1173.0,159.0,77538.0,982.0,223800.0,Oakland,88759.09280794188,1124.112424068185,256187.7398232788,4.326049377243916,67.4526838349364,1.843889898497407,8.466453674121405,62.460063897763575
143,2012,48083,23265,17343,864,10749.0,1232.0,3042.0,2211.0,184.0,63291.0,775.0,171000.0,Oakland,80674.70232236032,987.8639032378894,217967.3902628117,3.713733075435203,74.54545454545455,5.295508274231678,6.0486522024983564,72.68244575936885
144,2011,48083,23005,17167,1000,10738.0,1030.0,2716.0,1840.0,251.0,62606.0,737.0,184500.0,Oakland,81453.01139420019,958.8676707907476,240042.17810161863,4.346881112801565,74.62290806346446,4.477287546185612,9.241531664212078,67.74668630338734
145,2018,48083,22981,15666,1319,11186.0,501.0,1625.0,996.0,170.0,74439.0,940.0,212400.0,Oakland,86755.62825807325,1095.5317852548912,247543.5650937648,5.739523954571168,68.16935729515687,2.180061790174492,10.461538461538462,61.29230769230769
146,2013,48083,23305,17422,968,10704.0,1290.0,3173.0,2247.0,174.0,63788.0,805.0,163900.0,Oakland,80134.43313572889,1011.2908176187019,205901.3229909382,4.153615104054924,74.75649002360008,5.5352928556103835,5.483769303498267,70.81626221241727
147,2015,48083,23307,16687,1401,10963.0,1099.0,2981.0,2095.0,258.0,65580.0,818.0,168400.0,Oakland,80974.42335359911,1010.019492272706,207930.6632013737,6.011069635731754,71.59651606813404,4.715321577208564,8.654813820865481,70.27843005702785
148,2017,48083,23029,15978,1322,11327.0,721.0,1963.0,1202.0,148.0,71624.0,896.0,197700.0,Oakland,85513.71458877284,1069.757180156658,236039.05638054828,5.7405879543184675,69.38208345998524,3.130835034087455,7.539480387162506,61.23280692817117
149,2020,48083,22984,15516,843,11902.0,376.0,1838.0,835.0,130.0,79035.0,1005.0,232800.0,Oakland,89370.18876709258,1136.4210756111602,263242.6133356001,3.6677688827010093,67.50783153498085,1.6359206404455273,7.072905331882481,45.42981501632209
